"['2022-06-25T18:44:57.650149', 35.39863330355422]"
"['2022-06-18T16:20:33.205432', 75.15052149750207]","['2022-06-24T18:10:21.935093', 30.294893577778588]"

"['2022-06-21T05:47:34.534195', 75.94594400412201]"


"['2022-06-18T12:04:28.682476', 46.77794920398066]","['2022-06-18T15:50:30.895246', 58.142403695878436]","['2022-06-23T08:24:46.735419', 56.784907191987315]","['2022-06-24T16:40:50.124563', 59.294264178182225]","['2022-06-24T17:49:15.006842', 90.42899042494562]","['2022-06-24T21:19:55.781434', 57.844573805003364]"
"['2022-06-18T15:51:57.940604', 431.92749935536654]","['2022-06-20T05:24:33.257842', 77.81750177882097]","['2022-06-20T05:57:12.594244', 128.29931583124917]","['2022-06-20T06:29:32.020271', 68.7289799066493]","['2022-06-20T06:29:32.996871', 75.82894395750269]","['2022-06-21T05:54:50.777404', 323.34364816356265]","['2022-06-21T06:28:13.203976', 43.785970094837744]","['2022-06-21T09:22:35.502957', 49.49705578046574]","['2022-06-21T11:21:43.401477', 87.1952450848718]"
"['2022-06-18T15:53:24.959125', 33.97442611589814]"


"['2022-06-20T07:07:27.648104', 35.867687403463094]"

"['2022-06-18T12:58:53.781523', 35.28808526382953]"

