"['2022-06-25T18:44:57.650149', 33.05087623869164]"
"['2022-06-18T16:20:33.205432', 71.09142043469487]","['2022-06-24T18:10:21.935093', 28.558852899972983]"

"['2022-06-21T05:47:34.534195', 76.26813733193418]"


"['2022-06-18T12:04:28.682476', 43.25068415793148]","['2022-06-18T15:50:30.895246', 52.068766470282405]","['2022-06-23T08:24:46.735419', 50.75115945884728]","['2022-06-24T16:40:50.124563', 53.17696783835727]","['2022-06-24T17:49:15.006842', 83.5179812922041]","['2022-06-24T21:19:55.781434', 51.7639602099777]"
"['2022-06-18T15:51:57.940604', 472.91993205412155]","['2022-06-20T05:24:33.257842', 91.12384845566604]","['2022-06-20T05:57:12.594244', 129.6536364139498]","['2022-06-20T06:29:32.020271', 68.72583587250297]","['2022-06-20T06:29:32.996871', 75.70451802158513]","['2022-06-21T05:54:50.777404', 380.03935415342414]","['2022-06-21T06:28:13.203976', 43.62375188919437]","['2022-06-21T09:22:35.502957', 48.55758688709092]","['2022-06-21T11:21:43.401477', 84.91307787616532]"
"['2022-06-18T15:53:24.959125', 30.987745172595368]"


"['2022-06-20T07:07:27.648104', 34.94052759297096]"

"['2022-06-18T12:58:53.781523', 32.99916160563062]"

