"[-0.9999999038164141, -1.0000000598528411, -1.0012771789645651, -1.0226343977781391]","[-1.0000000598528411, -0.9999998837610297, -0.998708098061188, -0.9815515201248152]","[-1.0012771789645651, -0.998708098061188, 24.116615225039205, 443.70962763725487]","[-1.0226343977781391, -0.9815515201248152, 443.70962763725487, 23830.27006257821]"
"[-0.9999997853233596, -1.000000010320199, -1.0003233025559335, -1.00450991698662]","[-1.000000010320199, -0.9999998382648169, -0.9997884902780051, -1.0010332506806092]","[-1.0003233025559335, -0.9997884902780051, 2.067973820306417, 3.343472413958793]","[-1.00450991698662, -1.0010332506806092, 3.343472413958793, 192.20003877908695]"
"[-0.9999996685716062, -0.999999997845007, -1.0002375072120586, -1.0033053725524783]","[-0.999999997845007, -0.9999997684377414, -0.9999475771953497, -1.0005579265625395]","[-1.0002375072120586, -0.9999475771953497, 0.44714383777246813, 0.4168262649131338]","[-1.0033053725524783, -1.0005579265625395, 0.4168262649131338, 91.04999439898931]"
"[-0.9999995799254972, -0.9999999947026952, -1.0002379274632367, -1.0018485351412072]","[-0.9999999947026952, -0.9999998386900327, -0.9999865068929247, -1.0001505110811224]","[-1.0002379274632367, -0.9999865068929247, 0.20430633720374103, -0.9967434297725872]","[-1.0018485351412072, -1.0001505110811224, -0.9967434297725872, 57.40287011542088]"
"[-0.9999995542081416, -0.9999999941806575, -1.0002344916679493, -1.0002721462832742]","[-0.9999999941806575, -0.99999983965049, -0.9999934671667701, -1.0000347008063464]","[-1.0002344916679493, -0.9999934671667701, 0.13032533254533973, -2.1174312006547478]","[-1.0002721462832742, -1.0000347008063464, -2.1174312006547478, 48.76431122542028]"
"[-0.9999995954659384, -0.9999999910362275, -1.000197992381891, -0.9982171808603587]","[-0.9999999910362275, -0.9999997683280635, -0.9999998858387185, -0.9999256286330921]","[-1.000197992381891, -0.9999998858387185, 0.058509378935878154, -2.7813505228480757]","[-0.9982171808603587, -0.9999256286330921, -2.7813505228480757, 52.05902461406785]"
"[-0.9999996877552922, -0.9999999943374287, -1.0001351523284479, -0.9966722870909915]","[-0.9999999943374287, -0.9999998388658526, -1.0000152038443284, -0.9999004469809175]","[-1.0001351523284479, -1.0000152038443284, 0.2077087000053086, -3.217995781411786]","[-0.9966722870909915, -0.9999004469809175, -3.217995781411786, 74.34317990951513]"
"[-0.9999997507604695, -0.9999999972705673, -0.9999843868471858, -0.9960915179580518]","[-0.9999999972705673, -0.9999998386838372, -1.0000946920747544, -0.9996932822330855]","[-0.9999843868471858, -1.0000946920747544, 1.4437695617429753, -0.909216585308277]","[-0.9960915179580518, -0.9996932822330855, -0.909216585308277, 99.08765303485384]"
"[-0.9999998658234276, -1.0000000085979548, -0.9997515127756506, -0.9974189546029288]","[-1.0000000085979548, -0.9999997673645028, -1.0001698770785163, -0.998946709512448]","[-0.9997515127756506, -1.0001698770785163, 4.82239059556493, 4.652688643428373]","[-0.9974189546029288, -0.998946709512448, 4.652688643428373, 91.53664459603667]"
"[-0.9999999365319371, -1.000000019614411, -0.9997989359394521, -0.998963761193115]","[-1.000000019614411, -0.9999998396764058, -1.0000514246372976, -0.998986988674225]","[-0.9997989359394521, -1.0000514246372976, 6.821251965004181, 3.952756613047148]","[-0.998963761193115, -0.998986988674225, 3.952756613047148, 59.81513385371626]"
