"[-0.9999999775297369, -0.9999999886118033, -1.0000104056436188, -1.0012264246175777]","[-0.9999999886118033, -0.9999999921125388, -0.9999839715138366, -1.000349914968611]","[-1.0000104056436188, -0.9999839715138366, 0.2824942870332525, -0.24697562078590207]","[-1.0012264246175777, -1.000349914968611, -0.24697562078590207, 366.1894405690091]"
"[-0.9999999080385658, -0.9999999998898397, -1.0000844853619175, -1.0016444445295123]","[-0.9999999998898397, -0.9999999987327316, -0.9999960563345734, -1.0000047964230094]","[-1.0000844853619175, -0.9999960563345734, 0.15900195404421047, -2.431876714351753]","[-1.0016444445295123, -1.0000047964230094, -2.431876714351753, 112.86654240254911]"
"[-0.9999998413857293, -0.9999999990218806, -1.0000554180318655, -1.0019030424223871]","[-0.9999999990218806, -0.9999999987261505, -0.9999978212019791, -1.0000195412847126]","[-1.0000554180318655, -0.9999978212019791, 0.07355293652487505, -2.4851536157725205]","[-1.0019030424223871, -1.0000195412847126, -2.4851536157725205, 92.4521017872287]"
"[-0.9999997863318196, -1.0000000000579026, -1.0000035895627777, -1.000833412595066]","[-1.0000000000579026, -0.999999998852565, -0.999999708584637, -1.0000019737196304]","[-1.0000035895627777, -0.999999708584637, -0.011213386434824835, -1.8752191241438885]","[-1.000833412595066, -1.0000019737196304, -1.8752191241438885, 56.98259842870723]"
"[-0.9999997867993159, -1.0000000000501392, -0.9999904875403622, -0.9993436267212588]","[-1.0000000000501392, -0.999999993781979, -0.9999994549263438, -1.0000394770060417]","[-0.9999904875403622, -0.9999994549263438, -0.07115477872324594, -1.7335484657521043]","[-0.9993436267212588, -1.0000394770060417, -1.7335484657521043, 46.489633991453005]"
"[-0.9999998231363709, -0.9999999993284039, -0.9999726456507232, -0.9985565610315998]","[-0.9999999993284039, -0.9999999891379495, -1.0000052022568766, -0.9999486574892692]","[-0.9999726456507232, -1.0000052022568766, -0.07141442998904801, -1.4357912211435346]","[-0.9985565610315998, -0.9999486574892692, -1.4357912211435346, 45.33133345102865]"
"[-0.9999998683325109, -1.0000000017122452, -0.9999712946033675, -0.9985718589692613]","[-1.0000000017122452, -0.9999999931822838, -1.000000022193977, -0.9999982305638077]","[-0.9999712946033675, -1.000000022193977, -0.11265021437682299, -1.2381803330091088]","[-0.9985718589692613, -0.9999982305638077, -1.2381803330091088, 46.40091068755619]"
"[-0.9999999084843949, -1.000000000402879, -0.9999782108266886, -0.9990137622370343]","[-1.000000000402879, -0.9999999977771451, -0.9999996647530595, -0.9999897394770083]","[-0.9999782108266886, -0.9999996647530595, -0.1464030603380726, -1.0902917428423378]","[-0.9990137622370343, -0.9999897394770083, -1.0902917428423378, 35.61853325222583]"
"[-0.9999999365764245, -0.9999999995404515, -0.99998753768777, -0.9992902359596604]","[-0.9999999995404515, -0.9999999987042835, -1.0000010486690696, -0.9999945052813836]","[-0.99998753768777, -1.0000010486690696, -0.03573596769202503, -0.565085951765153]","[-0.9992902359596604, -0.9999945052813836, -0.565085951765153, 29.35687920258725]"
"[-0.9999999574234026, -0.999999999253144, -1.0000585697859419, -0.9994257239536435]","[-0.999999999253144, -0.9999999972955765, -1.0000195222369157, -0.999980366513352]","[-1.0000585697859419, -1.0000195222369157, 1.4929810526040819, -1.8097581788571788]","[-0.9994257239536435, -0.999980366513352, -1.8097581788571788, 24.426761416098895]"
