"[-0.9999999483023755, -0.9999999496494367, -0.9996147040145034, -1.001708584168435]","[-0.9999999496494367, -0.9999998502447778, -0.998289619764456, -0.9983900326525242]","[-0.9996147040145034, -0.998289619764456, 25.51320088268531, 33.457994151882716]","[-1.001708584168435, -0.9983900326525242, 33.457994151882716, 1677.191543884121]"
"[-0.9999998788257968, -0.9999999972234835, -1.0001001139219021, -1.0026442159973399]","[-0.9999999972234835, -0.9999998365450418, -0.9997909496064336, -0.9984679123314854]","[-1.0001001139219021, -0.9997909496064336, 0.6169022615591071, -0.42487244946289093]","[-1.0026442159973399, -0.9984679123314854, -0.42487244946289093, 250.22208227841296]"
"[-0.9999998021154931, -1.000000012257595, -1.000110493484455, -1.0029145314432972]","[-1.000000012257595, -0.9999997669006154, -0.9999443321744926, -0.9995782197794587]","[-1.000110493484455, -0.9999443321744926, 0.8979979702299319, -1.623407568399848]","[-1.0029145314432972, -0.9995782197794587, -1.623407568399848, 206.88482176092316]"
"[-0.9999997654777268, -1.000000010611143, -1.0000053215637208, -1.0012570684591247]","[-1.000000010611143, -0.9999998389496768, -0.9999935855324816, -0.9999483808836702]","[-1.0000053215637208, -0.9999935855324816, 0.1433873219638926, -1.607662101667513]","[-1.0012570684591247, -0.9999483808836702, -1.607662101667513, 128.9367006813694]"
"[-0.9999997651258522, -1.0000000154181266, -0.9999767655228569, -0.9995453393121849]","[-1.0000000154181266, -0.9999997683104607, -0.9999972475729552, -0.9999300756479691]","[-0.9999767655228569, -0.9999972475729552, 0.0025568222409120267, -1.506675049996371]","[-0.9995453393121849, -0.9999300756479691, -1.506675049996371, 108.79503121929626]"
"[-0.9999997957822352, -1.0000000117180536, -0.9999545941742429, -0.9985420140780096]","[-1.0000000117180536, -0.9999998368720054, -1.0000072299650655, -0.9998418696469784]","[-0.9999545941742429, -1.0000072299650655, -0.0008650821925345609, -1.0340535432892106]","[-0.9985420140780096, -0.9998418696469784, -1.0340535432892106, 111.18706111270178]"
"[-0.999999856566107, -1.0000000158268325, -0.9999580764872685, -0.998599945013585]","[-1.0000000158268325, -0.999999840182242, -1.000007304725489, -0.9998066937243282]","[-0.9999580764872685, -1.000007304725489, -0.05426308432496041, -0.8274640671865283]","[-0.998599945013585, -0.9998066937243282, -0.8274640671865283, 102.06166919195381]"
"[-0.9999999030144586, -1.0000000274817722, -0.9999673808706668, -0.9991074565642266]","[-1.0000000274817722, -0.9999997683860513, -1.0000208123509415, -0.9995983438029646]","[-0.9999673808706668, -1.0000208123509415, -0.08717654055526469, -0.8681415952397227]","[-0.9991074565642266, -0.9995983438029646, -0.8681415952397227, 80.29270273825368]"
"[-0.9999999319285943, -1.0000000246885394, -0.9999711032590924, -0.9993997087369079]","[-1.0000000246885394, -0.9999998388688655, -1.0000725965470505, -0.9995020277242457]","[-0.9999711032590924, -1.0000725965470505, 0.20193957405291374, -1.1861814376911366]","[-0.9993997087369079, -0.9995020277242457, -1.1861814376911366, 86.64729955959425]"
"[-0.9999999483927431, -1.0000000329302448, -1.000029378002618, -0.9995284843550887]","[-1.0000000329302448, -0.9999998400497305, -1.0001835117191433, -0.9993370951206842]","[-1.000029378002618, -1.0001835117191433, 2.212822353603749, -2.748459149624029]","[-0.9995284843550887, -0.9993370951206842, -2.748459149624029, 80.62406407219237]"
