"[-0.9999999754175771, -0.9999999899308166, -1.0001060684351628, -1.0008249634949462]","[-0.9999999899308166, -0.9999999908037599, -0.9999926840638066, -0.9990075635820163]","[-1.0001060684351628, -0.9999926840638066, 0.9853672983654937, 15.59093635208065]","[-1.0008249634949462, -0.9990075635820163, 15.59093635208065, 3140.060405658464]"
"[-0.9999998211954796, -1.0000000006363285, -1.0002509782652427, -1.003441718788485]","[-1.0000000006363285, -0.9999999993929565, -0.9999917109495353, -1.0000147113286626]","[-1.0002509782652427, -0.9999917109495353, 0.91289443001374, 2.757864071499753]","[-1.003441718788485, -1.0000147113286626, 2.757864071499753, 133.9917431535849]"
"[-0.9999997185255846, -0.9999999996518747, -1.0002220931188652, -1.0024240973680953]","[-0.9999999996518747, -0.9999999995678732, -0.9999995906079722, -1.0000088091973807]","[-1.0002220931188652, -0.9999995906079722, 0.32256175734214976, 0.4448513311683415]","[-1.0024240973680953, -1.0000088091973807, 0.4448513311683415, 63.946009327207335]"
"[-0.9999996558137614, -1.0000000003684126, -1.0002342961856903, -1.001015621881204]","[-1.0000000003684126, -0.9999999994676689, -0.9999985286065296, -1.000002749480976]","[-1.0002342961856903, -0.9999985286065296, 0.2333028304029312, -0.9413997375161635]","[-1.001015621881204, -1.000002749480976, -0.9413997375161635, 41.8492604014464]"
"[-0.9999996418889828, -1.0000000007472034, -1.000230625951672, -0.9997312197239725]","[-1.0000000007472034, -0.9999999995822727, -0.9999989489964571, -0.9999920227243672]","[-1.000230625951672, -0.9999989489964571, 0.18541363138983225, -2.081495472280574]","[-0.9997312197239725, -0.9999920227243672, -2.081495472280574, 37.78959703142147]"
"[-0.9999996752292782, -1.0000000008116805, -1.0001948725155332, -0.9981823854851305]","[-1.0000000008116805, -0.9999999994887983, -0.9999987028515632, -1.0000033429100919]","[-1.0001948725155332, -0.9999987028515632, 0.12848993913805185, -2.8610417800446823]","[-0.9981823854851305, -1.0000033429100919, -2.8610417800446823, 43.038102662202114]"
"[-0.9999997547932972, -1.0000000002362421, -1.000129599666274, -0.997224322774046]","[-1.0000000002362421, -0.999999999521147, -1.0000001706523902, -1.0000047321639187]","[-1.000129599666274, -1.0000001706523902, 0.21612021282324356, -3.132414638754526]","[-0.997224322774046, -1.0000047321639187, -3.132414638754526, 62.426661502579975]"
"[-0.9999998448409474, -1.0000000002623166, -0.9999676333337606, -0.9974414995109081]","[-1.0000000002623166, -0.9999999990245284, -1.000015076570689, -1.0000123202010671]","[-0.9999676333337606, -1.000015076570689, 0.9763274614885644, -0.45977236151730183]","[-0.9974414995109081, -1.0000123202010671, -0.45977236151730183, 71.89187259453008]"
"[-0.9999999191054164, -1.000000001387662, -0.999806186050601, -0.9984735854389569]","[-1.000000001387662, -0.9999999990202011, -1.0000191595410737, -1.0000342273755363]","[-0.999806186050601, -1.0000191595410737, 3.9359698045927463, 4.190945729126092]","[-0.9984735854389569, -1.0000342273755363, 4.190945729126092, 58.39542287636801]"
"[-0.9999999569058905, -0.9999999998493773, -0.999849599722917, -0.999313269381131]","[-0.9999999998493773, -0.9999999995715417, -1.0000113921272586, -0.9999923253667801]","[-0.999849599722917, -1.0000113921272586, 6.247332221474394, 3.2099821521985854]","[-0.999313269381131, -0.9999923253667801, 3.2099821521985854, 35.310106486148314]"
