"[-0.9999999003555327, -1.000000060658177, -1.0012841434955375, -1.022850978084528]","[-1.000000060658177, -0.9999998846132921, -0.9987195568286154, -0.9817688388128106]","[-1.0012841434955375, -0.9987195568286154, 23.688984745884046, 436.2351690022628]","[-1.022850978084528, -0.9817688388128106, 436.2351690022628, 23773.13273182264]"
"[-0.9999997901126829, -1.0000000123265402, -1.0003189131825831, -1.0039809189617899]","[-1.0000000123265402, -0.999999838252991, -0.9997864221838162, -1.0010570279588304]","[-1.0003189131825831, -0.9997864221838162, 2.0864552746848095, 3.1388489654241356]","[-1.0039809189617899, -1.0010570279588304, 3.1388489654241356, 166.79126260377544]"
"[-0.999999688288942, -0.9999999995823771, -1.0002560753294356, -1.0027045598387385]","[-0.9999999995823771, -0.9999997682711615, -0.9999437013346367, -1.0006250279452753]","[-1.0002560753294356, -0.9999437013346367, 0.5846040572351086, 0.6253316724118425]","[-1.0027045598387385, -1.0006250279452753, 0.6253316724118425, 77.83575262360078]"
"[-0.999999619484474, -0.9999999954767294, -1.0002530021629206, -1.0011583450915267]","[-0.9999999954767294, -0.9999998387074599, -0.9999843257981171, -1.0001794107481579]","[-1.0002530021629206, -0.9999843257981171, 0.3356680370123666, -1.0334441869187891]","[-1.0011583450915267, -1.0001794107481579, -1.0334441869187891, 50.368026306425584]"
"[-0.9999996155854564, -0.9999999945320125, -1.0002408108649108, -0.999654077232123]","[-0.9999999945320125, -0.9999998396040785, -0.9999928503880662, -1.0000635144715737]","[-1.0002408108649108, -0.9999928503880662, 0.249136784790553, -2.2913578928712086]","[-0.999654077232123, -1.0000635144715737, -2.2913578928712086, 46.0041030732874]"
"[-0.9999996653802219, -0.999999990768733, -1.0001934288839294, -0.9979892119787355]","[-0.999999990768733, -0.9999997686609116, -0.9999999486778328, -0.9999778777808118]","[-1.0001934288839294, -0.9999999486778328, 0.15717920013459197, -2.942642990555991]","[-0.9979892119787355, -0.9999778777808118, -2.942642990555991, 52.66317485334023]"
"[-0.999999743455671, -0.9999999944516804, -1.0001237445422353, -0.9968048879604657]","[-0.9999999944516804, -0.9999998388006688, -1.000017129381317, -0.9999368812121991]","[-1.0001237445422353, -1.000017129381317, 0.32566879015655714, -3.16151911218227]","[-0.9968048879604657, -0.9999368812121991, -3.16151911218227, 75.7746070789697]"
"[-0.9999998195000044, -0.9999999968398524, -0.9999538792965083, -0.9967721185104029]","[-0.9999999968398524, -0.9999998386729213, -1.0001092783333605, -0.9997317987137596]","[-0.9999538792965083, -1.0001092783333605, 1.6867399544796466, -0.18133708785407154]","[-0.9967721185104029, -0.9997317987137596, -0.18133708785407154, 93.52044611323315]"
"[-0.9999999118418944, -1.000000006961037, -0.9997630668010217, -0.9982372256222096]","[-1.000000006961037, -0.9999997673176495, -1.0001936302736707, -0.9989344283872315]","[-0.9997630668010217, -1.0001936302736707, 5.340044811431434, 4.5893839713240485]","[-0.9982372256222096, -0.9989344283872315, 4.5893839713240485, 76.98306872008912]"
"[-0.9999999539771395, -1.0000000183263476, -0.9998236860109985, -0.9993688478892744]","[-1.0000000183263476, -0.9999998396410654, -1.000055014024174, -0.9989475848089807]","[-0.9998236860109985, -1.000055014024174, 7.205195551193247, 3.6703655857144657]","[-0.9993688478892744, -0.9989475848089807, 3.6703655857144657, 48.44793626110066]"
"[-0.9999999651572619, -1.0000000341489574, -0.9998477829253151, -0.9999192677901745]","[-1.0000000341489574, -0.999999839148199, -1.0000835434946798, -0.9990423401757413]","[-0.9998477829253151, -1.0000835434946798, 10.010428016568166, 1.4978922187399344]","[-0.9999192677901745, -0.9990423401757413, 1.4978922187399344, 29.73457443085057]"
"[-0.9999999574197284, -1.0000000708857675, -0.9998085936127185, -1.0001474180524774]","[-1.0000000708857675, -0.9999997675320452, -1.000256310095058, -0.9990726040445027]","[-0.9998085936127185, -1.000256310095058, 8.436488436895642, -0.8070743532752248]","[-1.0001474180524774, -0.9990726040445027, -0.8070743532752248, 20.479803023349866]"
"[-0.9999999606403448, -1.0000000616794555, -0.999865015071211, -1.0000647345103943]","[-1.0000000616794555, -0.9999998387062659, -1.0001955775419886, -0.9994301827026866]","[-0.999865015071211, -1.0001955775419886, 3.144861099152955, -1.1299066483117148]","[-1.0000647345103943, -0.9994301827026866, -1.1299066483117148, 13.983759473473551]"
"[-0.9999999640671398, -1.0000000658716404, -0.999978505641448, -0.9996889316542308]","[-1.0000000658716404, -0.9999998404721164, -1.0000404516541426, -1.0002782024603893]","[-0.999978505641448, -1.0000404516541426, -0.12152873846073697, -1.221187027913142]","[-0.9996889316542308, -1.0002782024603893, -1.221187027913142, 13.09800129479059]"
"[-0.9999999801183947, -1.0000000515827836, -0.999995960529245, -0.9996198027878157]","[-1.0000000515827836, -0.9999998393517101, -1.000002262532667, -1.0009722974883806]","[-0.999995960529245, -1.000002262532667, -0.5062813135507858, -1.0293796501926697]","[-0.9996198027878157, -1.0009722974883806, -1.0293796501926697, 14.712364844359616]"
"[-0.999999984102482, -1.0000000567734837, -0.9999983219645877, -0.9998491269696534]","[-1.0000000567734837, -0.9999997689305681, -0.9999986835688216, -1.0005372893501232]","[-0.9999983219645877, -0.9999986835688216, -0.544911479145413, -0.9529094553279014]","[-0.9998491269696534, -1.0005372893501232, -0.9529094553279014, 4.295253091576293]"
"[-0.9999999906134558, -1.0000000348740785, -0.999996264675889, -1.0000043860897343]","[-1.0000000348740785, -0.9999998398088209, -1.0000190497919434, -1.0000351621359198]","[-0.999996264675889, -1.0000190497919434, -0.5714897184955596, -0.7422798835651504]","[-1.0000043860897343, -1.0000351621359198, -0.7422798835651504, 3.7615660620002833]"
"[-0.9999999901156595, -1.0000000351188172, -1.0000038908761895, -1.000009788994773]","[-1.0000000351188172, -0.9999998388892848, -0.9999957211024045, -0.9999668574072859]","[-1.0000038908761895, -0.9999957211024045, -0.5746024515677386, -1.0010061185460366]","[-1.000009788994773, -0.9999668574072859, -1.0010061185460366, 3.4532640285086327]"
"[-0.9999999864960405, -1.000000051752381, -0.999998926411121, -0.9999810188684772]","[-1.000000051752381, -0.9999997687117437, -1.0000083595573557, -0.9999870254336493]","[-0.999998926411121, -1.0000083595573557, -0.5050789550728308, -1.1431960993829082]","[-0.9999810188684772, -0.9999870254336493, -1.1431960993829082, 4.269406689405925]"
"[-0.9999999876795242, -1.0000000443313244, -0.9998434988528647, -0.9960496872722349]","[-1.0000000443313244, -0.9999998149568721, -1.0006065134193873, -1.0116843093117152]","[-0.9998434988528647, -1.0006065134193873, 8.123936594832383, 163.35127931918393]","[-0.9960496872722349, -1.0116843093117152, 163.35127931918393, 8712.726084190539]"
