"[-0.9999999758596109, -0.9999999878207905, -1.000015861352273, -1.0013540380095647]","[-0.9999999878207905, -0.9999999916666764, -0.9999850248304264, -1.0004031383903993]","[-1.000015861352273, -0.9999850248304264, 0.35329353550681675, 0.7139623125466894]","[-1.0013540380095647, -1.0004031383903993, 0.7139623125466894, 392.066244614802]"
"[-0.9999999070028496, -0.9999999998151592, -1.000090485261467, -1.0013789166460116]","[-0.9999999998151592, -0.9999999986234462, -0.9999958330612546, -1.0000037063323142]","[-1.000090485261467, -0.9999958330612546, 0.2644121783431459, -2.814487116637285]","[-1.0013789166460116, -1.0000037063323142, -2.814487116637285, 107.78821495441062]"
"[-0.9999998480171481, -0.9999999987102605, -1.0000445518637342, -1.0017320808488552]","[-0.9999999987102605, -0.999999998636588, -1.0000001452319218, -1.0000318448372636]","[-1.0000445518637342, -1.0000001452319218, 0.08718398496218827, -3.1230322876400174]","[-1.0017320808488552, -1.0000318448372636, -3.1230322876400174, 96.7313406072391]"
"[-0.9999997929966623, -1.0000000000607545, -0.9999908994495422, -1.000859180942296]","[-1.0000000000607545, -0.9999999987467106, -0.9999996195164368, -0.9999986562565736]","[-0.9999908994495422, -0.9999996195164368, 0.0869071585841279, -1.9497818026297824]","[-1.000859180942296, -0.9999986562565736, -1.9497818026297824, 61.01217150869503]"
"[-0.9999997921963555, -1.0000000004723884, -0.9999765408437045, -0.999385073666459]","[-1.0000000004723884, -0.9999999932942596, -0.9999986495307094, -1.00003962240302]","[-0.9999765408437045, -0.9999986495307094, 0.04745215198990116, -1.7863209514167329]","[-0.999385073666459, -1.00003962240302, -1.7863209514167329, 50.44706740177552]"
"[-0.999999827804484, -0.999999999524544, -0.9999600447497449, -0.9985547882414871]","[-0.999999999524544, -0.9999999897040341, -1.0000065474876005, -0.999960335340687]","[-0.9999600447497449, -1.0000065474876005, 0.05364175323883713, -1.473666547417003]","[-0.9985547882414871, -0.999960335340687, -1.473666547417003, 46.623871322352]"
"[-0.9999998735610752, -1.000000002482913, -0.9999597750374872, -0.998556269423101]","[-1.000000002482913, -0.9999999934088849, -0.9999990507463339, -1.0000051388156406]","[-0.9999597750374872, -0.9999990507463339, 0.007244013587486942, -1.1912640039991507]","[-0.998556269423101, -1.0000051388156406, -1.1912640039991507, 48.37331670345894]"
"[-0.9999999138468462, -1.000000000555144, -0.9999693453368458, -0.9990367085695891]","[-1.000000000555144, -0.999999997955441, -0.9999994195226254, -0.9999908878949341]","[-0.9999693453368458, -0.9999994195226254, -0.04348049012816968, -1.0344318375741621]","[-0.9990367085695891, -0.9999908878949341, -1.0344318375741621, 36.84688413637552]"
"[-0.9999999394736566, -0.9999999995389749, -0.9999779171069658, -0.9993749086998249]","[-0.9999999995389749, -0.9999999985444975, -1.0000010917692348, -0.999995303479776]","[-0.9999779171069658, -1.0000010917692348, 0.07114112187476485, -0.42129351206233134]","[-0.9993749086998249, -0.999995303479776, -0.42129351206233134, 28.691568185641263]"
"[-0.9999999575813925, -0.999999999184807, -1.0000570736156493, -0.9994878785940466]","[-0.999999999184807, -0.9999999968507505, -1.0000220912430084, -0.9999795696971776]","[-1.0000570736156493, -1.0000220912430084, 1.7047984773700242, -1.5820534538121342]","[-0.9994878785940466, -0.9999795696971776, -1.5820534538121342, 22.984825489787355]"
"[-0.9999999732603855, -1.0000000009799488, -1.000124597823915, -0.9996893109060415]","[-1.0000000009799488, -0.9999999940399191, -1.0000358064232553, -0.9999623203525483]","[-1.000124597823915, -1.0000358064232553, 5.461117188067279, -1.5529331032031297]","[-0.9996893109060415, -0.9999623203525483, -1.5529331032031297, 18.810101201482084]"
"[-0.9999999786083899, -1.0000000020836346, -1.0000958395720867, -0.9999869441081966]","[-1.0000000020836346, -0.9999999961086932, -0.9999938592963226, -0.9999731609725051]","[-1.0000958395720867, -0.9999938592963226, 2.9226853155863366, -0.06659654561210915]","[-0.9999869441081966, -0.9999731609725051, -0.06659654561210915, 13.79526317503501]"
"[-0.999999982023426, -1.0000000016501571, -1.0000053686900001, -0.9998323707660011]","[-1.0000000016501571, -0.999999995970063, -0.9999983452622432, -1.0000205569416925]","[-1.0000053686900001, -0.9999983452622432, -0.41793644071649383, -1.2220449424444562]","[-0.9998323707660011, -1.0000205569416925, -1.2220449424444562, 11.938181279929749]"
"[-0.999999991040942, -1.0000000000662805, -0.9999928147330884, -0.999791990158243]","[-1.0000000000662805, -0.9999999993150178, -0.999999493541429, -0.9999962249340822]","[-0.9999928147330884, -0.999999493541429, -0.553694774203862, -0.8963107211143838]","[-0.999791990158243, -0.9999962249340822, -0.8963107211143838, 15.369918066585829]"
"[-0.9999999964227466, -1.0000000000518598, -0.9999970086069965, -0.9998939875411648]","[-1.0000000000518598, -0.9999999994085306, -1.000000119561739, -1.0000000133623164]","[-0.9999970086069965, -1.000000119561739, -0.6066934315158751, -0.9630374996118001]","[-0.9998939875411648, -1.0000000133623164, -0.9630374996118001, 11.718371499207754]"
"[-0.9999999985926152, -1.000000000051829, -1.0000005701052102, -0.9999644234051662]","[-1.000000000051829, -0.9999999996552593, -0.9999996998912098, -1.0000002639926548]","[-1.0000005701052102, -0.9999996998912098, -0.6448603638322881, -0.8278853841219187]","[-0.9999644234051662, -1.0000002639926548, -0.8278853841219187, 9.317328422559632]"
"[-0.9999999991850635, -1.000000002101263, -0.9999933656974601, -0.9998144294365888]","[-1.000000002101263, -0.9999999882502503, -1.000061971674535, -1.0005875074262882]","[-0.9999933656974601, -1.000061971674535, -0.1872028254078889, 6.50662703759848]","[-0.9998144294365888, -1.0005875074262882, 6.50662703759848, 369.16993581680043]"
