"[-0.9999999449946576, -0.9999999494584577, -0.9996375570219999, -1.0020534605139388]","[-0.9999999494584577, -0.9999998506813479, -0.998298310204663, -0.9989581197469054]","[-0.9996375570219999, -0.998298310204663, 25.62461544791128, 27.6116107614933]","[-1.0020534605139388, -0.9989581197469054, 27.6116107614933, 1766.9868745020312]"
"[-0.9999998773115725, -0.9999999966917307, -1.0001001048039757, -1.0024172331312653]","[-0.9999999966917307, -0.9999998365148993, -0.9997875959268687, -0.9984695987826195]","[-1.0001001048039757, -0.9997875959268687, 0.6817358756539469, -0.9965352098768059]","[-1.0024172331312653, -0.9984695987826195, -0.9965352098768059, 256.41319448652877]"
"[-0.9999998087724786, -1.0000000106453348, -1.0000509844283731, -1.002732577238713]","[-1.0000000106453348, -0.9999997666053834, -0.9999603894747453, -0.99963209512265]","[-1.0000509844283731, -0.9999603894747453, 0.3943319332652795, -4.295955042535123]","[-1.002732577238713, -0.99963209512265, -4.295955042535123, 213.28398327751654]"
"[-0.9999997698282803, -1.000000010506623, -0.9999895246104729, -1.0013534561254152]","[-1.000000010506623, -0.9999998391414961, -0.9999930135635323, -0.9999249654126422]","[-0.9999895246104729, -0.9999930135635323, 0.21694803026309417, -1.5410528348282102]","[-1.0013534561254152, -0.9999249654126422, -1.5410528348282102, 142.77303108916325]"
"[-0.9999997675096329, -1.000000015456958, -0.9999618566841841, -0.9996306976963348]","[-1.000000015456958, -0.9999997684218689, -0.9999975294921183, -0.9999463970707004]","[-0.9999618566841841, -0.9999975294921183, 0.10527254986334067, -1.4939767451417578]","[-0.9996306976963348, -0.9999463970707004, -1.4939767451417578, 120.92492237841837]"
"[-0.9999998021613371, -1.00000001163736, -0.9999407974817449, -0.9986044769638438]","[-1.00000001163736, -0.9999998372791719, -1.0000084769815454, -0.9998439015411401]","[-0.9999407974817449, -1.0000084769815454, 0.10712943746697934, -0.9931976166146429]","[-0.9986044769638438, -0.9998439015411401, -0.9931976166146429, 120.59671187490022]"
"[-0.99999986133561, -1.0000000161216638, -0.999946911571407, -0.9986150692447557]","[-1.0000000161216638, -0.999999840034596, -1.0000069667232223, -0.9998084339968487]","[-0.999946911571407, -1.0000069667232223, 0.05395754388654894, -0.7252982237772558]","[-0.9986150692447557, -0.9998084339968487, -0.7252982237772558, 111.49266927064068]"
"[-0.9999999089433748, -1.000000027609899, -0.9999587040006898, -0.9991627501204923]","[-1.000000027609899, -0.9999997681687862, -1.0000215990011971, -0.9995645468536514]","[-0.9999587040006898, -1.0000215990011971, 0.004769937248345402, -0.7920240035396372]","[-0.9991627501204923, -0.9995645468536514, -0.7920240035396372, 87.48905012113686]"
"[-0.9999999355026472, -1.0000000248997383, -0.9999611275660548, -0.9995078708872435]","[-1.0000000248997383, -0.9999998388285444, -1.00008124793539, -0.9994898141288013]","[-0.9999611275660548, -1.00008124793539, 0.32383901919367264, -1.151615594463462]","[-0.9995078708872435, -0.9994898141288013, -1.151615594463462, 93.83566242240241]"
"[-0.9999999487653417, -1.0000000333459838, -1.0000227008618245, -0.9995959121424143]","[-1.0000000333459838, -0.9999998401984533, -1.0002039362339825, -0.9993312342764055]","[-1.0000227008618245, -1.0002039362339825, 2.4284159386581465, -2.5633471280537377]","[-0.9995959121424143, -0.9993312342764055, -2.5633471280537377, 86.38931044877584]"
